numero_item;descricao;marca;unidade_medida;quantidade_contratada;valor_unitario;saida;tipo_item
28;CANETA MARCA-TEXTO, MATERIAL PLASTICO, TIPO PONTA CHANFRADA, COR FLUORESCENTE DIVERSAS, TINTA SUPERFLUORESCENTE E COR VIVA PARA SUBLINHAR E DESTACAR, ESPESSURA DOS TRACOS 1MM PARA SUBLINHAR 4 MM PARA DESTACAR DE QUALIDADE IGUAL OU SUPERIOR A MARCA PILOTO.;MASTERPRINT;UNIDADE;200;1.70;160;CONSUMO
29;CLIPS PARA PAPEIS - TAMANHO: 2/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 100 UNIDADES.;CHAPARRAU;CAIXA COM 100 UNID;200;2.50;50;CONSUMO
30;CLIPS PARA PAPEIS - TAMANHO: 3/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 100 UNIDADES.;CHAPARRAU;CAIXA COM 100 UNID;200;2.20;50;CONSUMO
31;CLIPS PARA PAPEIS - TAMANHO: 6/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 50 UNIDADES.;CHAPARRAU;CAIXA COM 50 UNID;200;2.80;30;CONSUMO
32;CLIPS PARA PAPEIS - TAMANHO: 8/0, MATERIA PRIMA: ACO, ACABAMENTO: NIQUELADO, TIPO: CONVENCIONAL, CAIXA PEQUENA COM 25 UNIDADES.;CHAPARRAU;CAIXA COM 25 UNID;200;2.80;30;CONSUMO
33;COLA BASTAO - COMPOSICAO: POLIVINILPIRROLIDONA (PVP), ESTEARATO DE SODIO E GLICERINA, REQUISITO: A BASE DE AGUA, LAVAVEL E ATOXICA, EMBALAGEM: TUBO COM 40G;ACRILEX;UNIDADE;50;8.00;0;CONSUMO
34;COLA ADESIVA INSTANTANEA LIQUIDA 50G;LEONORA;UNIDADE;26;15.00;26;CONSUMO
35;COLA, COR INCOLOR, APLICACAO COURO, METAL, VIDRO, CORTICA PLASTICO, MADEIRA, CARACTERISTICAS ADICIONAIS INSTANTANEA, TIPO LIQUIDO, 100G.;LEONORA;UNIDADE;65;5.00;0;CONSUMO
36;COLA BRANCA PVA, PARA MADEIRA DE 1KG, CASCOLA CASCOREZ EXTRA, SIMILAR, EQUIVALENTE OU DE MELHOR QUALIDADE.;IRIS;UNIDADE;10;9.90;10;CONSUMO
37;CORRETIVO FITA, 6MX5MM, APLICACAO APAGAR CANETA ESFEROGRAFICA.;JOCAR;UNIDADE;150;3.90;100;CONSUMO
38;DISPLAY DE PAREDE EM ACRILICO, TIPO A4 COM FITA DUPLA FACE PARA FIXACAO;WALEU;UNIDADE;20;18.90;0;CONSUMO
39;ENVELOPE BRANCO 114MM X 229MM.;VIA BRASIL;UNIDADE;130;0.07;100;CONSUMO
40;ENVELOPE PARDO 240 MM X 340 MM.;VIA BRASIL;UNIDADE;65;0.28;65;CONSUMO
41;ESTILETE RETRATIL, ESPESSURA 18MM, APLICACAO ESCRITORIO.;BAZZE;UNIDADE;26;2.40;26;CONSUMO
42;EXTRATOR DE GRAMPO, MATERIAL ACO, TIPO ESPATULA, TRATAMENTO SUPERFICIAL CROMADO, MEDIDAS APROXIMADAS: 15X2CM;BAZZE;UNIDADE;20;1.80;20;CONSUMO
43;FITA ADESIVA, MATERIAL POLIPROPILENO TRANSPARENTE, TIPO MONO FACE, COR INCOLOR, APLICACAO MULTIUSO, 50MMX50M.;KORETECH;UNIDADE;100;3.30;100;CONSUMO
44;FITA ADESIVA, MATERIAL POLIPROPILENO TRANSPARENTE, TIPO MONO FACE, 12MMX50M.;KORETECH;UNIDADE;150;1.10;50;CONSUMO
45;GRAMPEADOR, MATERIAL METAL, TIPO MESA, CAPACIDADE 25 FL, TAMANHO GRAMPO 26/6, CARACTERISTICAS ADICIONAIS PINTURA EPOXI.;BAZZE;UNIDADE;50;11.99;20;CONSUMO
46;GRAMPEADOR, MATERIAL METAL, TIPO MESA, CAPACIDADE ATE 100 FL, TAMANHO GRAMPO 23/6, 23/8, 23/10, E 23/13;JOCAR;UNIDADE;6;71.00;0;CONSUMO
47;GRAMPO GRAMPEADOR, MATERIAL METAL, TRATAMENTO SUPERFICIAL LATONADO, TAMANHO 23/13, CAIXA COM 5000 UNIDADES.;CHAPARRAU;CAIXA COM 5000 UNID;13;28.40;0;CONSUMO
48;GRAMPO GRAMPEADOR, MATERIAL METAL, TRATAMENTO SUPERFICIAL NIQUELADO, TAMANHO 26/6, CAIXA COM 5000 UNIDADES.;BAZZE;CAIXA COM 5000 UNID;130;3.70;0;CONSUMO
49;GRAMPO TRILHO ENCADERNADOR, MATERIAL PLASTICO, COMPRIMENTO 80 MM, TIPO LINGUETA, APLICACAO FIXACAO FOLHAS EM PROCESSOS, TIPO ESPELHO GARRA, PACOTE COM 50 UNIDADES.;DELO;PACOTE COM 50 UNID;26;10.90;0;CONSUMO
50;LAPIS PRETO REDONDO, GRAFITE 2-B, CORPO SEXTAVADO CONFECCIONADO EM MADEIRA DE ALTA QUALIDADE, SEM RACHADURAS.;LEONORA;UNIDADE;260;0.29;230;CONSUMO
51;LAPISEIRA, MATERIAL PLASTICO, DIAMETRO CARGA 0,5 MM, CARACTERISTICAS ADICIONAIS C/PRENDEDOR, PONTA E ACIONADOR DE METAL C/BORRACHA;LEONORA;UNIDADE;50;4.90;50;CONSUMO
52;LIVRO ATA, CAPA DURA, MATERIAL PAPEL SULFITE, QUANTIDADE FOLHAS 100 FL, GRAMATURA 75 G/M2, COMPRIMENTO 297 MM, LARGURA 210 MM.;TILIBRA;UNIDADE;100;14.95;0;CONSUMO
53;LIVRO PROTOCOLO DE CORRESPONDENCIA, CAPA DURA 100 FOLHAS.;BAHIA ARTES GRAFICA;UNIDADE;65;11.90;15;CONSUMO
54;MARCADOR DE PAGINA AUTO ADESIVO TRANSPARENTE, CONTEM 8 CORES DE MARCADORES NO PACOTE COM 25 UNIDADES EM CADA COR, DIMENSOES 45MMX12MM, FACIL APLICACAO, REPOSICIONAVEIS, NAO DANIFICAM AS PAGINAS.;JOCAR;PACOTE COM 8 UNID;200;6.70;20;CONSUMO
55;PAPEL A-4 BRANCO MATERIAL ALCALINO 75G/M2, RESMA COM 500 FOLHAS.;REPORT;RESMA COM 500 FOLHAS;650;26.90;350;CONSUMO
56;PAPEL EMBORRACHADO, MATERIAL BORRACHA EVA, COMPRIMENTO 60 CM, LARGURA 40 CM, ESPESSURA 2 MM, PADRAO LISO, COR VARIADA. AS CORES DEVERAO SER ENVIADAS DE ACORDO COM O PEDIDO DO ALMOXARIFADO, MEDIANTE AUTORIZACAO DE FORNECIMENTO.;IBEL;UNIDADE;65;2.90;65;CONSUMO
57;PAPEL FOTOGRAFICO BRILHANTE TAMANHO A4.;BAHIA ARTES GRAFICA;RESMA COM 50 FOLHAS;50;15.00;50;CONSUMO
58;PASTA ARQUIVO TIPO AZ, PAPELAO PLASTIFICADA, TAMANHO OFICIO, LOMBO LARGO, 34,5X28,5X7,0 CM.;FARMA;UNIDADE;390;13.40;200;CONSUMO
59;PASTA CATALOGO C/100 ENVELOPES PLASTICOS.;DAC;UNIDADE;50;17.00;0;CONSUMO
60;PASTA CLASSIFICADOR TRANSPARENTE, MATERIAL PLASTICO, COM ELASTICO, TAMANHO PROPORCIONAL A FOLHA A4.;DAC;UNIDADE;260;1.38;150;CONSUMO
61;PASTA PLASTICA EM L, INCOLOR TAMANHO A4.;DAC;UNIDADE;50;0.71;50;CONSUMO
62;PASTA SANFONADA TRANSPARENTE, TAMANHO PROPORCIONAL A FOLHA A4 COM 12 DIVISORIAS, VISORES E ABAS DE IDENTIFICACAO.;DAC;UNIDADE;50;14.95;50;CONSUMO
63;PASTA SUSPENSA MARMORIZADA, PLASTIFICADA, COM PRENDEDOR, VISOR DE ETIQUETA, HASTES LATERAL MEDINDO 235MMX360MM;DELO;UNIDADE;250;3.06;0;CONSUMO
64;PERFURADOR PAPEL, MATERIAL METAL E PLASTICO, TIPO GRANDE, TRATAMENTO SUPERFICIAL NIQUELADO, CAPACIDADE PERFURACAO 100 FL, FUNCIONAMENTO MANUAL.;LIKE;UNIDADE;6;146.00;3;CONSUMO
65;PERFURADOR PAPEL, MATERIAL METAL, TIPO MESA, TRATAMENTO SUPERFICIAL PINTADO, CAPACIDADE PERFURACAO 30 FL, FUNCIONAMENTO MANUAL, CARACTERISTICAS ADICIONAIS FURO REDONDO, QUANTIDADE FUROS 2.;JOCAR;UNIDADE;40;43.40;40;CONSUMO
66;PILHA AAA PACOTE COM 2 UNIDADES.;ELGIN;UNIDADE;260;4.20;260;CONSUMO
67;PILHA, TAMANHO PEQUENA, TIPO ALCALINA, MODELO AA, PACOTE COM 2 UNIDADES.;ELGIN;PACOTE COM 2 UNID;200;4.00;200;CONSUMO
68;PINCEL ATOMICO, MATERIAL PLASTICO, TIPO PONTA FELTRO, TIPO CARGA DESCARTAVEL, CORES SORTIDAS (PRETO, VERMELHO, AZUL, VERDE);JOCAR;UNIDADE;80;2.70;80;CONSUMO
69;PRANCHETAS PORTATIL EM ACRILICO TRANSPARENTE, TAMANHO CORRESPONDENTE A FOLHA A4, COM PRENDEDOR DE METAL.;WALEU;UNIDADE;26;12.90;16;CONSUMO
