Item;Descrição;Marca;Unidade;Preco_Unitario;Quantidade;Saida;Valor_R$;Estoque_Atual
56;PAPEL EMBORRACHADO, MATERIAL BORRACHA EVA, COMPRIMENTO 60 CM, LARGURA 40 CM, ESPESSURA 2 MM, PADRAO LISO, COR VARIADA. AS CORES DEVERAO SER ENVIADAS DE ACORDO COM O PEDIDO DO ALMOXARIFADO, MEDIANTE AUTORIZACAO DE FORNECIMENTO.;IBEL;UNIDADE;2,90;65;65;0,00;0
57;PAPEL FOTOGRAFICO BRILHANTE TAMANHO A4.;BAHIA ARTES GRAFICA;RESMA COM 50 FOLHAS;15,00;50;50;0,00;0
58;PASTA ARQUIVO TIPO AZ, PAPELAO PLASTIFICADA, TAMANHO OFICIO, LOMBO LARGO, 34,5X28,5X7,0 CM.;FARMA;UNIDADE;13,40;390;200;2.546,00;190
59;PASTA CATALOGO C/100 ENVELOPES PLASTICOS.;DAC;UNIDADE;17,00;50;0;850,00;50
60;PASTA CLASSIFICADOR TRANSPARENTE, MATERIAL PLASTICO, COM ELASTICO, TAMANHO PROPORCIONAL A FOLHA A4.;DAC;UNIDADE;1,38;260;150;151,80;110
61;PASTA PLASTICA EM L, INCOLOR TAMANHO A4.;DAC;UNIDADE;0,71;50;50;0,00;0
62;PASTA SANFONADA TRANSPARENTE, TAMANHO PROPORCIONAL A FOLHA A4 COM 12 DIVISORIAS, VISORES E ABAS DE IDENTIFICACAO.;DAC;UNIDADE;14,95;50;50;0,00;0
63;PASTA SUSPENSA MARMORIZADA, PLASTIFICADA, COM PRENDEDOR, VISOR DE ETIQUETA, HASTES LATERAL MEDINDO 235MMX360MM;DELO;UNIDADE;3,06;250;0;765,00;250
64;PERFURADOR PAPEL, MATERIAL METAL E PLASTICO, TIPO GRANDE, TRATAMENTO SUPERFICIAL NIQUELADO, CAPACIDADE PERFURACAO 100 FL, FUNCIONAMENTO MANUAL.;LIKE;UNIDADE;146,00;6;3;438,00;3
65;PERFURADOR PAPEL, MATERIAL METAL, TIPO MESA, TRATAMENTO SUPERFICIAL PINTADO, CAPACIDADE PERFURACAO 30 FL, FUNCIONAMENTO MANUAL, CARACTERISTICAS ADICIONAIS FURO REDONDO, QUANTIDADE FUROS 2.;JOCAR;UNIDADE;43,40;40;40;0,00;0
66;PILHA AAA PACOTE COM 2 UNIDADES.;ELGIN;UNIDADE;4,20;260;260;0,00;0
67;PILHA, TAMANHO PEQUENA, TIPO ALCALINA, MODELO AA, PACOTE COM 2 UNIDADES.;ELGIN;PACOTE COM 2 UNID;4,00;200;200;0,00;0
68;PINCEL ATOMICO, MATERIAL PLASTICO, TIPO PONTA FELTRO, TIPO CARGA DESCARTAVEL, CORES SORTIDAS (PRETO, VERMELHO, AZUL, VERDE);JOCAR;UNIDADE;2,70;80;80;0,00;0
69;PRANCHETAS PORTATIL EM ACRILICO TRANSPARENTE, TAMANHO CORRESPONDENTE A FOLHA A4, COM PRENDEDOR DE METAL.;WALEU;UNIDADE;12,90;26;16;129,00;10
70;REGUA ESCRITORIO, MATERIAL PLASTICO FLEXIVEL, COMPRIMENTO 30 CM.;WALEU;UNIDADE;3,40;60;30;102,00;30
71;TESOURA LAMINA EM ACO INOX, 7 POLEGADAS, APROXIMADAMENTE 18CM, COM CABO PLASTICO PRETO.;JOCAR;UNIDADE;6,50;50;45;32,50;5
